week,model,target,AUROC_mean,AUROC_sd,AUPRC_mean,ECE_mean,Brier_mean,F1_mean,Precision_mean,Recall_mean,n_features
2,Logistic,dropout,0.7920362232269375,0.0,0.6663099171738004,0.1447197693547681,0.18268886564631215,0.6183111111111111,0.5616925064599483,0.6876235666271254,82.0
2,Logistic,failure,0.6628214341569945,0.0,0.3352889507898758,0.25692698504781375,0.23021777090357007,0.41507352941176473,0.30788110171802563,0.6367738296672307,82.0
2,RandomForest,dropout,0.7960976046777898,0.0002178362625092951,0.6870856784427141,0.08781075117824944,0.1648687735384046,0.599941421489469,0.6583299331488475,0.5510742058784763,82.0
2,RandomForest,failure,0.6677968802448927,0.0003601559204312021,0.3324687145884026,0.1414899951418929,0.18220925615834935,0.33579048928579724,0.3747141489316663,0.3041925173904869,82.0
2,Stable-Causal-Temporal,dropout,0.7992455956925758,0.0007337176930265138,0.6967028506841296,0.01622380757821972,0.15481907249866014,0.5548545028091679,0.7599864220108717,0.4369315935152234,75.0
2,Stable-Causal-Temporal,failure,0.6758925178386801,0.0028527804698816194,0.3397416543337204,0.010432579137918499,0.15973239238889644,0.03326104968371829,0.4476190476190476,0.017296484301560444,75.0
2,XGBoost,dropout,0.7981744738494907,0.0004880053981165473,0.6933669493015112,0.14042577003787313,0.1767816048907304,0.6213502611071475,0.594629929664475,0.6505865295900883,82.0
2,XGBoost,failure,0.6795361813418103,0.0003120021398282885,0.35052042472513373,0.2503624984378678,0.2235376608771872,0.4240599926145084,0.31754963931905955,0.6380898665162625,82.0
4,Logistic,dropout,0.8397110950694365,0.0,0.7543635533269045,0.12921202797627745,0.1543884005513292,0.6832369942196532,0.6662908680947013,0.701067615658363,82.0
4,Logistic,failure,0.6928889338261572,0.0,0.3651012824644683,0.2485199660271323,0.22276037527934844,0.4364118092354277,0.3283964682426659,0.6503102086858432,82.0
4,RandomForest,dropout,0.8422536301324565,0.00035859158878434654,0.7624147845646387,0.07650995945675747,0.14041070717960594,0.6844913137912273,0.7319534552850735,0.6428100698563332,82.0
4,RandomForest,failure,0.7080695038005608,0.0016727644926029762,0.36909821118199626,0.12657501983477434,0.17255288541973343,0.3706929634884057,0.41229532120316553,0.3367174280879865,82.0
4,Stable-Causal-Temporal,dropout,0.8465574191103249,0.00045664233700840707,0.7736601336243946,0.015942968402883652,0.13204510287326324,0.6693785522545763,0.8040902627195692,0.5733491498616053,75.0
4,Stable-Causal-Temporal,failure,0.7133257930720177,0.0014313905420015032,0.3774457644021989,0.013341364911955656,0.15450332897549132,0.09107564456821543,0.5105640445199019,0.050009400263207375,75.0
4,XGBoost,dropout,0.8454919611040986,0.00036278605012499284,0.7694606279038122,0.12533449179142372,0.15038183556640872,0.6829380260509476,0.6745140576140183,0.6915776986951364,82.0
4,XGBoost,failure,0.7131674068931647,0.0004044451174506311,0.38297484057360914,0.23925294324096766,0.21445002295442764,0.45033328770100006,0.3356743502252775,0.6839631509682271,82.0
6,Logistic,dropout,0.853657677700243,0.0,0.7724789054748493,0.12176337689569101,0.14644116908137064,0.7004268529297631,0.6876190476190476,0.7137208382759984,82.0
6,Logistic,failure,0.704835081994592,0.0,0.37896921436429304,0.2449635651839456,0.21922691358576554,0.4460129721480351,0.3369847218218507,0.6593344613649182,82.0
6,RandomForest,dropout,0.8565998709161157,0.00030366608822472084,0.780637099800851,0.07129932763103618,0.13338319465853318,0.7016055103800815,0.757021999777372,0.6537498352444971,82.0
6,RandomForest,failure,0.727186714113817,0.0006771856273535333,0.39152961511688766,0.1212612716675912,0.16799671823128662,0.40361064126033663,0.42874213257536686,0.38127467569091933,82.0
6,Stable-Causal-Temporal,dropout,0.8576769849344285,0.0003309156318051922,0.789676177006112,0.01416830109218746,0.12629642777088648,0.688889581183303,0.8051844823183306,0.6019507051535521,75.0
6,Stable-Causal-Temporal,failure,0.7332344772403941,0.0018182329981615115,0.4076773021202163,0.010434140523528118,0.1508392074297416,0.1092033879886531,0.5417767189606569,0.06072570031960895,75.0
6,XGBoost,dropout,0.8585872913351036,0.00027095119547651986,0.78831925602839,0.11882991064983693,0.14299154269853534,0.7026537761152789,0.6919303282264121,0.7137208382759983,82.0
6,XGBoost,failure,0.7319114816017859,0.000435008694176539,0.41101426593195467,0.23290345483614694,0.20880356608619213,0.4681806512996587,0.348851969834572,0.7115999247978944,82.0
8,Logistic,dropout,0.8706076065680807,0.0,0.7936077917547416,0.11504757485869521,0.1376519605137626,0.7245770766014066,0.6976573938506588,0.7536575721629103,83.0
8,Logistic,failure,0.7200013215802916,0.0,0.39696985073482444,0.2396286237010433,0.2143108875853903,0.458997279440342,0.3501334123925289,0.6661026508742245,83.0
8,RandomForest,dropout,0.8755433765473531,0.0002627908407407417,0.8012856232934237,0.06798404387080181,0.12515718488478741,0.7291417296738948,0.7386078912605013,0.7199156451825491,83.0
8,RandomForest,failure,0.7456017058941891,0.0007102368789693029,0.41484523386206446,0.11754852588340974,0.16370157892635137,0.43323228581209766,0.44232211428510704,0.42451588644482047,83.0
8,Stable-Causal-Temporal,dropout,0.8766282651491805,0.00046406585080227016,0.8098808094400051,0.011946866740771283,0.11861798449757134,0.7171298998437848,0.796108224470133,0.6524317912218268,75.0
8,Stable-Causal-Temporal,failure,0.7500387156386176,0.0005047784354891395,0.4262157544547385,0.012974945652975972,0.14779201501235972,0.1509107009579791,0.5688098782396275,0.08704643730024442,75.0
8,XGBoost,dropout,0.8762029848772039,0.00010026339768706633,0.808104718416157,0.11274218366105322,0.13425132785663516,0.7303432224919103,0.6995800799900547,0.7639383155397391,83.0
8,XGBoost,failure,0.7491479610864488,0.000554019665681256,0.4327606503086158,0.2269864716926455,0.20344685791140252,0.4837384596415226,0.36245277882539445,0.7270163564579808,83.0
10,Logistic,dropout,0.8804304586371048,0.0,0.8021323086014295,0.11078761267897001,0.13263724143150363,0.7333459143234573,0.7014440433212995,0.7682878608145512,83.0
10,Logistic,failure,0.7214308220830935,0.0,0.39053830154683994,0.23801920061277845,0.21431334779216646,0.45655546935609,0.34791605084244753,0.6638465877044557,83.0
10,RandomForest,dropout,0.8852893974381164,0.00017463999169184502,0.8117012426002521,0.06508339577756414,0.12023481022298198,0.742404890759742,0.7440769410978163,0.7407407407407408,83.0
10,RandomForest,failure,0.7559305252140535,0.0006337372720079738,0.42747566904422424,0.11416282950163988,0.1610368146650964,0.45406088170061026,0.4556065020896556,0.4525286708027825,83.0
10,Stable-Causal-Temporal,dropout,0.88828941338598,0.0005545755042403055,0.8210268763280034,0.014202686249698435,0.11390372100738755,0.733630199948441,0.7892092875582993,0.6853828917885858,75.0
10,Stable-Causal-Temporal,failure,0.763164953624975,0.0006254020350101204,0.44537629546242985,0.012693061302082304,0.14509923702358893,0.21123958747655705,0.5818036195804729,0.12915961646926113,75.0
10,XGBoost,dropout,0.8874659407574392,0.00030373709632578594,0.8193923885244837,0.10724784734431049,0.12792397960337962,0.7406834933552967,0.713294629937224,0.7702649268485567,83.0
10,XGBoost,failure,0.7609895210064627,0.0006189711462421737,0.44377325816652163,0.22209846807314856,0.19941928669015774,0.49088101887614277,0.3694668637397056,0.7311524722692235,83.0
12,Logistic,dropout,0.8845267846714764,0.0,0.8032297246653272,0.10861246410589946,0.13069658188100222,0.7405598346796919,0.7054402290622764,0.7793594306049823,83.0
12,Logistic,failure,0.7256080419310712,0.0,0.3944115750185612,0.23702724464935812,0.21330963890320256,0.4609723029246562,0.35103244837758113,0.6711787930062042,83.0
12,RandomForest,dropout,0.8904131880389147,0.0004136839221772077,0.8158767680523331,0.06421923888835249,0.11837675979489211,0.7478497430761225,0.750632678947396,0.7450902860155529,83.0
12,RandomForest,failure,0.758630653515262,0.00038083733783618977,0.4338253390303291,0.11277197553533168,0.16015431498564606,0.45425326263865234,0.45675719508263296,0.45177664974619286,83.0
12,Stable-Causal-Temporal,dropout,0.8926950576163479,0.00018902129139342593,0.825050284696056,0.012429824682609341,0.11191168935477348,0.742163436783867,0.7969065876466846,0.6944773955450113,75.0
12,Stable-Causal-Temporal,failure,0.7640989204912292,0.0007979520046437438,0.44573540768140557,0.011536711423062345,0.14488372398075663,0.22582683620517707,0.5709245010224199,0.1408159428463997,75.0
12,XGBoost,dropout,0.8925819215956118,8.622355593506108e-05,0.823567490065741,0.10526780351813868,0.12571885410328157,0.7492261727164156,0.718538813380666,0.7826545406616581,83.0
12,XGBoost,failure,0.7620480089251784,0.0006911832744237829,0.4437322376744263,0.2199385803355598,0.19880929491171298,0.4936200523890162,0.3699508289063571,0.7414927617973303,83.0
